Running training with line graph partitions
Simulated graph file doesn't exist, generating file...
Generating graphs...
Graphs generated
Generating line graphs...
334/1000 done, time: 9.686427593231201, etr: 6470.533632278442
335/1000 done, time: 9.732906341552734, etr: 6491.848529815674
336/1000 done, time: 9.724444389343262, etr: 6476.479963302612
337/1000 done, time: 9.95025110244751, etr: 6616.916983127594
338/1000 done, time: 9.710091352462769, etr: 6447.500658035278
339/1000 done, time: 9.709368228912354, etr: 6437.31113576889
340/1000 done, time: 9.75071096420288, etr: 6454.970658302307
341/1000 done, time: 9.811471700668335, etr: 6485.382794141769
342/1000 done, time: 9.858999967575073, etr: 6506.939978599548
343/1000 done, time: 9.73919415473938, etr: 6418.128947973251
344/1000 done, time: 9.67414903640747, etr: 6365.590065956116
345/1000 done, time: 9.744927406311035, etr: 6402.41730594635
346/1000 done, time: 9.692127704620361, etr: 6358.035774230957
347/1000 done, time: 9.572517156600952, etr: 6269.998737573624
348/1000 done, time: 9.670392751693726, etr: 6324.4368596076965
349/1000 done, time: 9.675573825836182, etr: 6318.149708271027
350/1000 done, time: 9.813694477081299, etr: 6398.528799057007
351/1000 done, time: 9.567384719848633, etr: 6228.36745262146
352/1000 done, time: 9.718652963638306, etr: 6317.124426364899
353/1000 done, time: 9.548459529876709, etr: 6196.950234889984
354/1000 done, time: 9.769960641860962, etr: 6330.934495925903
355/1000 done, time: 9.870235204696655, etr: 6386.042177438736
356/1000 done, time: 9.797080278396606, etr: 6328.913859844208
357/1000 done, time: 9.921799421310425, etr: 6399.560626745224
358/1000 done, time: 9.723972082138062, etr: 6262.238020896912
359/1000 done, time: 9.670048713684082, etr: 6217.841322898865
360/1000 done, time: 9.940065383911133, etr: 6381.521976470947
361/1000 done, time: 9.615606784820557, etr: 6163.603949069977
362/1000 done, time: 9.689095258712769, etr: 6201.020965576172
363/1000 done, time: 9.572477340698242, etr: 6116.813020706177
364/1000 done, time: 9.63706350326538, etr: 6148.446515083313
365/1000 done, time: 9.602990865707397, etr: 6117.105181455612
366/1000 done, time: 9.684207201004028, etr: 6159.155779838562
367/1000 done, time: 9.870424509048462, etr: 6267.719563245773
368/1000 done, time: 9.628475427627563, etr: 6104.453421115875
369/1000 done, time: 9.770499467849731, etr: 6184.72616314888
370/1000 done, time: 9.92140007019043, etr: 6270.324844360352
371/1000 done, time: 9.776372194290161, etr: 6168.890854597092
372/1000 done, time: 9.729407787322998, etr: 6129.526906013489
373/1000 done, time: 9.666377782821655, etr: 6080.151625394821
374/1000 done, time: 9.667317628860474, etr: 6071.075470924377
375/1000 done, time: 9.696593999862671, etr: 6079.764437913895
376/1000 done, time: 9.599143981933594, etr: 6009.06413269043
377/1000 done, time: 9.67984127998352, etr: 6049.9007999897
378/1000 done, time: 9.724719047546387, etr: 6068.224685668945
379/1000 done, time: 9.799224615097046, etr: 6104.91693520546
380/1000 done, time: 9.770796298980713, etr: 6077.435297966003
381/1000 done, time: 9.712388277053833, etr: 6031.39312005043
382/1000 done, time: 9.757104635238647, etr: 6049.404873847961
383/1000 done, time: 9.703715562820435, etr: 6006.599933385849
384/1000 done, time: 9.691553592681885, etr: 5989.380120277405
385/1000 done, time: 9.673847675323486, etr: 5968.764015674591
386/1000 done, time: 9.815664768218994, etr: 6046.4494972229
387/1000 done, time: 9.890424966812134, etr: 6082.611354589462
388/1000 done, time: 9.654664039611816, etr: 5927.963720321655
